iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;13:37:28;13:37:28;13:37:28;;;13:37:28;13:37:28;13:37:28;13:37:28;13:37:28;13:37:28;13:37:28;13:37:29;13:37:29;13:37:29;13:37:29;13:37:29;13:37:29;;;13:37:29;13:37:29;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
1;13:37:29;13:37:29;13:37:29;13:37:29;13:37:29;13:37:29;13:37:29;13:37:29;13:37:29;13:37:29;13:37:29;13:37:29;13:37:30;13:37:30;13:37:30;13:37:30;13:37:30;13:37:30;;;13:37:30;13:37:30;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
2;13:37:31;13:37:31;13:37:31;13:37:31;13:37:31;13:37:31;;;13:37:31;13:37:31;13:37:31;13:37:31;13:37:31;13:37:31;13:37:31;13:37:31;13:37:31;13:37:31;;;13:37:32;13:37:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
3;13:37:32;13:37:32;13:37:32;13:37:32;13:37:32;13:37:32;;;13:37:32;13:37:32;13:37:32;13:37:32;13:37:32;13:37:32;13:37:32;13:37:32;13:37:32;13:37:32;;;13:37:33;13:37:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
4;13:37:33;13:37:33;13:37:33;13:37:33;13:37:33;13:37:33;;;13:37:33;13:37:33;13:37:33;13:37:33;13:37:33;13:37:33;13:37:33;13:37:33;13:37:33;13:37:33;;;13:37:33;13:37:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
5;13:37:34;13:37:34;13:37:34;13:37:34;13:37:34;13:37:34;;;13:37:34;13:37:34;13:37:34;13:37:34;13:37:34;13:37:34;13:37:34;13:37:34;13:37:34;13:37:34;;;13:37:34;13:37:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
6;13:37:34;13:37:34;13:37:34;13:37:34;13:37:34;13:37:34;;;13:37:34;13:37:34;13:37:34;13:37:34;13:37:35;13:37:35;13:37:35;13:37:35;13:37:35;13:37:35;;;13:37:35;13:37:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
7;13:37:35;13:37:35;13:37:35;13:37:35;13:37:35;13:37:35;;;13:37:35;13:37:35;13:37:35;13:37:35;13:37:36;13:37:36;13:37:36;13:37:36;13:37:36;13:37:36;;;13:37:36;13:37:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
8;13:37:36;13:37:36;13:37:36;13:37:36;13:37:36;13:37:36;;;13:37:36;13:37:36;13:37:36;13:37:36;13:37:37;13:37:37;13:37:37;13:37:37;13:37:37;13:37:37;;;13:37:37;13:37:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
9;13:37:37;13:37:37;13:37:37;13:37:37;13:37:37;13:37:37;;;13:37:37;13:37:37;13:37:37;13:37:37;13:37:38;13:37:38;13:37:38;13:37:38;13:37:38;13:37:38;;;13:37:38;13:37:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
10;13:37:38;13:37:38;13:37:38;13:37:38;13:37:38;13:37:38;;;13:37:38;13:37:38;13:37:38;13:37:38;13:37:39;13:37:39;13:37:39;13:37:39;13:37:39;13:37:39;13:37:39;13:37:39;13:37:39;13:37:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
