element_type,id,lat,lon,building,type
way,26384105,48.4909233,9.2137665,apartments,residential
way,30555149,48.4890338,9.2088781,apartments,residential
way,30555230,48.4891244,9.2085723,apartments,residential
way,30555577,48.4891014,9.210274,apartments,residential
way,30555611,48.4886451,9.2107241,apartments,residential
way,30555673,48.4888762,9.2092919,apartments,residential
way,30555739,48.4889399,9.2102673,apartments,residential
way,30556472,48.4889756,9.2113854,apartments,residential
way,30557066,48.4890223,9.2106104,apartments,residential
way,30557094,48.4894005,9.2105854,apartments,residential
way,30558023,48.4880794,9.2102987,apartments,residential
way,30558104,48.4882005,9.2104243,semidetached_house,residential
way,30558149,48.4883448,9.2106329,apartments,residential
way,30598604,48.4874598,9.2114332,apartments,residential
way,30598611,48.487036,9.2123147,apartments,residential
way,30598625,48.487326,9.2125522,apartments,residential
way,30882689,48.488802,9.2133795,house,residential
way,30970609,48.4936818,9.2081349,apartments,residential
way,30970618,48.4923743,9.208378,apartments,residential
way,30970636,48.4935317,9.2078546,apartments,residential
way,30970701,48.4925811,9.2083135,apartments,residential
way,30970747,48.4920934,9.2083935,apartments,residential
way,30970771,48.4917659,9.2084079,apartments,residential
way,30970776,48.4917197,9.2090925,apartments,residential
way,30970779,48.4915326,9.2086828,apartments,residential
way,30970784,48.4914412,9.2091617,apartments,residential
way,30970794,48.4915954,9.209625,apartments,residential
way,30971120,48.4913711,9.2087414,house,residential
way,30978066,48.4949343,9.2104225,apartments,residential
way,30979271,48.4920802,9.2083027,apartments,residential
way,30979274,48.4910204,9.2092026,apartments,residential
way,30979276,48.4911072,9.2089826,apartments,residential
way,30979277,48.4910464,9.2090628,house,residential
way,33883696,48.4922361,9.2119521,apartments,residential
way,35800750,48.4900258,9.2136686,apartments,residential
way,35873935,48.4982062,9.2136185,apartments,residential
way,35880242,48.5026717,9.1950123,house,residential
way,35880243,48.5026274,9.1950863,house,residential
way,35880244,48.5025808,9.1951567,house,residential
way,35894421,48.5033258,9.1999616,apartments,residential
way,35894422,48.503519,9.199775,apartments,residential
way,35894426,48.5027608,9.1979192,apartments,residential
way,35894430,48.5020373,9.1991705,apartments,residential
way,35928600,48.5036783,9.2066407,apartments,residential
way,36537163,48.5030601,9.2012456,house,residential
way,36537164,48.5021101,9.1983405,apartments,residential
way,36537165,48.5018264,9.1985742,apartments,residential
way,37799684,48.5018555,9.1940188,apartments,residential
way,37799685,48.5016207,9.194015,apartments,residential
way,37799716,48.5014742,9.1970979,apartments,residential
way,37799894,48.5028827,9.2010592,house,residential
way,37799897,48.5026938,9.2012588,apartments,residential
way,39648846,48.5039054,9.189406,detached,residential
way,39648850,48.50355,9.1898477,apartments,residential
way,39648851,48.503589,9.190121,detached,residential
way,39648854,48.5035299,9.1886505,detached,residential
