addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,alt_name,amenity,brand,brand:wikidata,check_date,check_date:opening_hours,contact:email,contact:fax,contact:phone,contact:website,description,dispensing,email,fixme,health_specialty:internal_medicine,healthcare,healthcare:speciality,level,max_age,name,opening_hours,opening_hours:lastcheck,opening_hours:signed,opening_hours:url,operator,operator:wikidata,phone,ref:vatin,survey:date,toilets:wheelchair,website,wheelchair,wheelchair:description
Reutlingen,DE,"47","72764",Kaiserstraße,,pharmacy,,,2025/03/13,,,+49 7121 17750,+49 7121 490640,https://www.list-apotheke.de,,yes,,,,pharmacy,,"0",,List-Apotheke,"Mo-Fr 08:00-18:30; Sa 08:30-12:30",,,,Dr. Stephan Weinandy,,,,,,,,
Reutlingen,DE,"11","72764",Kaiserstraße,,pharmacy,,,2025/03/13,2023/02/01,,+49 7121 492472,+49 7121 490011,https://www.bahnhof-apotheke-reutlingen.de,,yes,,,,pharmacy,,,,Bahnhof-Apotheke,"Mo-Fr 08:00-18:30, Sa 09:00-13:00",,,,Christos Paralis,,,,,,,yes,
Reutlingen,DE,"5","72764",Lindachstraße,,pharmacy,,,2025/03/20,,info@lindach-apotheke.de,+49 7121 210035,+49 7121 270868,https://www.lindach-apotheke.de,,yes,,,,pharmacy,,,,Lindach-Apotheke,"Mo-Fr 08:30-13:00,14:00-18:30; Sa 09:00-13:00",,,,Britta Thumm,,,,,,,yes,
Reutlingen,DE,"28","72764",Katharinenstraße,,pharmacy,,,,,service@apo-tue-tor.de,+49 7121 346801,+49 7121 339951,http://www.apo-tue-tor.de,,yes,,,,pharmacy,,,,Apotheke am Tübinger Tor,"Su off; PH off; Mo-Fr 08:00-18:30; Sa 08:30-14:00",,,,Dr. Myriam Polychronidis,,,,,,,yes,
Reutlingen,DE,"8","72764",Kaiserpassage,,pharmacy,,,2024/03/11,,apokaiserpassage@gmx.de,+49 7121 340187,+49 7121 310303,http://www.apo-inderkaiserpassage-reutlingen.de,,yes,,,,pharmacy,,,,Apotheke in der Kaiserpassage,"Mo-Fr 08:00-13:00,14:00-18:30; Sa 08:30-12:30",,,,Dr. Anja Meißel,,,,,,,yes,
Reutlingen,DE,"21","72760",Emil-Adolff-Straße,,pharmacy,,,,2024/08/31,info@apotheke-im-e-center.de,+49 7121 372931,+49 7121 372930,http://www.apotheke-im-e-center.de,,yes,,,,pharmacy,,,,Apotheke im E-Center,"Mo-Fr 08:00-22:00; Sa 08:00-22:00; Su off; PH off",,,,Siegbert Ruchay,,,DE218914191,,yes,,yes,
Reutlingen,DE,"2","72764",Albstraße,,pharmacy,,,,2024/02/10,info@albtor-apotheke.de,+49 7121 8201797,+49 7121 8201795,http://www.albtor-apotheke.de,,yes,,,,pharmacy,,,,Albtor-Apotheke,"Mo-Fr 08:00-19:00; Sa 08:00-14:00",,,,Niklas Lang,,,,,,,yes,
Reutlingen,DE,"53","72764",Wilhelmstraße,,pharmacy,,,2023/04/26,,,+49 7121 310774,+49 7121 334937,https://www.hirsch-apotheke-reutlingen.de,,yes,,,,pharmacy,,,,Hirsch-Apotheke,"Mo-Fr 08:30-18:30; Sa 08:30-15:00",,,,Dr. Stefan Merz,,,,,,,no,
Reutlingen,,"2","72764",Albstraße,,doctors,,,2024/03/21,,,,,,,,,,,centre,,,,Ärztehaus,,,,,,,,,,,,yes,
Reutlingen,DE,"8","72764",Oskar-Kalbfell-Platz,,pharmacy,,,2024/04/21,,,+49 7121 22924,+49 7121 22924,http://www.apotheke-am-steg-reutlingen.de,,yes,,,,pharmacy,,,,Apotheke am Steg,"Mo-Fr 08:15-18:30; Sa 09:00-12:30",,,,Peter Ihli,,,,,,,yes,
