X,Y
9.2153242,48.4940195
9.2116129,48.4963277
9.2151383,48.4880415
9.2088773,48.4913979
9.2155967,48.4932362
9.1981381,48.4979508
9.216537,48.4900742
9.2111598,48.492911
9.216758,48.4900114
9.2075284,48.4903185
9.2097296,48.4939634
9.2105415,48.5032994
9.2167324,48.4891044
9.2154953,48.4934911
9.216864,48.488968
9.2089179,48.4933884
9.2075274,48.4903796
9.2166976,48.48857
9.2166626,48.4885055
9.2164373,48.4885668
9.2166252,48.488441
9.2163992,48.4885011
9.216638,48.4900431
9.2166037,48.4899975
9.2176162,48.4887252
9.2089852,48.4934243
9.2090342,48.4933949
9.2160073,48.4886662
9.2153726,48.4933473
9.2156911,48.4939586
9.2088813,48.4953013
9.2169164,48.4889033
9.2160499,48.4892683
9.2152025,48.4942525
9.2169741,48.488754
9.2159486,48.4915218
9.2080799,48.4895553
9.2109121,48.4958905
9.2102641,48.4958157
9.2099646,48.4942787
9.218603,48.4915791
9.210779,48.4939831
9.2165565,48.4912472
9.2128967,48.4955194
9.2158395,48.4940299
9.2078885,48.4956236
9.2111901,48.4945318
9.2101639,48.5032924
9.2055764,48.4924962
9.2167037,48.4899762
9.2156729,48.4932698
9.2153408,48.4886991
9.2074093,48.4903747
9.2083327,48.4921364
9.2074599,48.4900756
9.2041464,48.4911076
9.2079615,48.4956878
9.2072548,48.4951087
9.209978,48.4942527
9.2117516,48.4917207
9.2118734,48.4963644
9.2101102,48.5032022
9.2085815,48.4946664
9.2092646,48.4941847
9.2087076,48.4945312
9.2086041,48.4946884
9.2086252,48.4946247
9.2052246,48.4953167
9.2068009,48.4960389
9.2090809,48.4956532
9.2084754,48.4921563
9.2072347,48.4903611
9.2168726,48.4891692
9.2128093,48.4949813
9.2085428,48.4946793
